ferrous_debris,soot_in_oil,cylinder_head_temp,exhaust_gas_temp,bearing_temp,engine_vibration,knock_sensor,crankshaft_vibration,oil_temperature,injector_pressure,oil_pressure,coolant_pressure,mass_air_flow,oxygen_sensor,egr_flow,RUL
35.882,125.849,112.298,767.585,102.118,5.457,83.654,925.9050615857661,103.152,11.389,0.22,0.117,4.135,0.934,15.681,639
9.121,78.482,83.658,400.108,75.667,0.072,17.987,746.29349039927,63.055,4.822,0.012,0.163,0.476,0.66,1.038,967
3.524,90.956,96.3,366.833,36.911,0.844,47.95,443.52822797501995,24.806,8.134,0.026,0.222,2.476,0.628,11.592,907
100.0,140.0,130.0,850.0,110.0,10.0,92.506,159.58951677788397,125.426,20.0,0.329,0.288,7.252,0.356,20.0,157
56.13,117.155,111.764,842.281,97.696,8.221,78.006,908.6100335425896,100.356,15.421,0.24,0.115,3.641,0.918,15.086,335
2.823,87.546,102.677,358.34,80.056,2.448,55.82,763.7361937227944,56.541,3.698,0.082,0.195,1.977,0.725,9.161,800
16.359,82.664,91.362,638.823,49.483,0.378,7.934,275.03531517130597,40.78,6.104,0.061,0.186,2.895,0.48,9.768,929
8.649,48.071,103.145,256.757,54.341,2.454,8.599,873.2411946910942,58.076,1.816,0.053,0.194,2.456,0.716,7.884,877
9.25,82.423,78.904,623.414,48.614,3.905,61.125,610.5902685302449,57.49,7.177,0.053,0.204,3.109,0.233,0.845,878
9.399,45.643,109.481,275.89,61.325,2.068,32.779,538.7154331627273,27.912,4.909,0.084,0.16,2.09,0.541,0.001,811
13.326,98.659,78.815,430.064,39.701,0.139,50.701,373.4183606920392,88.439,6.77,0.062,0.181,1.056,0.78,7.43,931
10.47,51.24,70.826,624.072,50.951,2.114,44.509,735.4331462982623,13.038,6.992,0.033,0.191,2.361,0.203,7.532,843
5.196,85.492,105.896,454.365,45.131,1.434,9.279,785.9236575384754,78.925,2.98,0.018,0.222,1.101,0.669,8.632,804
11.729,72.001,101.19,300.578,33.493,3.819,36.229,339.015937054807,42.687,3.363,0.004,0.202,1.665,0.638,6.602,977
13.781,6.717,92.48,374.435,37.609,2.753,60.074,456.9052257680287,85.337,9.234,0.074,0.211,1.143,0.034,3.723,885
8.832,59.004,80.572,357.9,60.395,2.175,12.108,861.575140527125,71.196,1.094,0.038,0.234,0.953,0.353,8.167,923
100.0,140.0,130.0,850.0,110.0,10.0,88.124,95.24325403808477,129.756,20.0,0.39,0.032,6.753,0.606,20.0,80
100.0,140.0,130.0,850.0,110.0,10.0,97.817,153.92684876454817,124.01,20.0,0.428,0.27,8.069,0.531,20.0,27
100.0,140.0,130.0,850.0,110.0,10.0,95.3,142.8008858726854,122.821,20.0,0.489,0.089,7.596,0.345,20.0,213
47.38,116.101,115.235,715.102,91.189,6.071,70.753,974.9441106963942,107.605,12.219,0.254,0.148,4.286,0.932,16.55,795
16.241,55.76,91.98,581.391,30.417,4.71,45.474,270.23128686157884,56.065,2.583,0.076,0.172,2.709,0.791,5.427,901
9.524,62.97,104.991,354.061,73.777,1.597,57.753,595.8359160549091,46.757,3.459,0.074,0.224,1.789,0.521,3.028,975
12.271,14.112,82.681,345.625,35.379,3.24,51.75,431.95364827734875,74.905,5.763,0.005,0.197,0.98,0.38,8.363,988
100.0,140.0,130.0,850.0,110.0,10.0,98.744,122.62150475148742,127.796,20.0,0.477,0.291,9.65,0.278,20.0,235
6.673,21.212,79.294,298.694,55.37,3.008,31.601,286.05493973155086,93.087,9.697,0.012,0.167,0.495,0.041,5.211,988
29.578,104.799,120.037,733.328,93.445,8.049,77.16,246.56790332038713,108.508,16.917,0.225,0.125,3.663,0.912,18.033,406
100.0,140.0,130.0,850.0,110.0,10.0,90.848,37.62987806436833,128.932,20.0,0.324,0.3,6.808,0.147,20.0,177
98.382,127.045,117.275,676.939,101.271,6.19,82.681,200.45695738242935,110.481,15.955,0.242,0.128,4.259,0.931,16.819,740
18.164,5.985,86.903,518.172,50.335,4.659,1.758,277.3296691386267,4.723,8.255,0.009,0.223,1.041,0.204,7.249,840
66.726,105.497,121.191,745.288,98.651,8.096,82.639,226.33580122593048,111.017,17.347,0.202,0.11,4.194,0.948,17.668,733
14.047,38.728,77.38,417.077,49.426,0.331,67.217,594.8145321712256,53.367,1.71,0.015,0.187,2.942,0.55,7.033,820
28.333,118.455,128.216,675.149,91.701,8.969,76.193,986.4557353860079,108.698,14.529,0.264,0.119,3.691,0.92,17.312,655
100.0,140.0,130.0,850.0,110.0,10.0,90.913,1006.2936094376071,122.778,20.0,0.392,0.036,8.686,0.606,20.0,182
6.981,84.644,79.557,428.506,41.293,2.971,12.679,762.2063105292679,0.231,3.03,0.01,0.183,1.685,0.712,0.577,889
100.0,140.0,130.0,850.0,110.0,10.0,86.546,1020.5318619811221,126.981,20.0,0.366,0.019,8.705,0.78,20.0,116
4.874,62.209,108.353,522.878,54.693,0.065,48.55,414.8720848916651,54.526,2.998,0.043,0.17,0.473,0.313,14.334,913
100.0,140.0,130.0,850.0,110.0,10.0,93.304,111.10496433599629,129.25,20.0,0.493,0.049,9.555,0.368,20.0,134
78.134,107.683,125.076,689.547,104.492,8.624,80.343,976.0002418797462,100.719,11.15,0.208,0.115,4.112,0.904,18.484,610
100.0,140.0,130.0,850.0,110.0,10.0,97.665,195.82246911304648,129.814,20.0,0.397,0.285,8.234,0.281,20.0,202
8.8,12.376,81.457,495.729,80.287,2.798,45.775,655.6648194619488,74.509,8.003,0.062,0.172,3.001,0.534,10.533,988
7.266,70.834,94.324,522.178,45.333,2.153,34.597,570.7423805688945,56.975,8.146,0.044,0.19,1.205,0.43,8.316,931
19.843,81.533,73.855,391.852,57.155,2.169,24.03,549.6899070185665,66.111,5.71,0.055,0.201,0.734,0.354,7.543,867
6.283,61.509,76.421,268.409,76.737,3.756,26.386,261.6441342168299,66.054,2.196,0.096,0.217,3.009,0.317,3.504,987
16.445,61.103,76.887,528.29,63.278,3.563,46.152,544.7139687050096,8.944,5.87,0.085,0.208,2.211,0.313,6.854,982
100.0,140.0,130.0,850.0,110.0,10.0,97.301,1062.407100599181,129.379,20.0,0.462,0.284,9.736,0.217,20.0,11
100.0,140.0,130.0,850.0,110.0,10.0,89.912,1059.1397856600859,126.198,20.0,0.391,0.297,6.947,0.553,20.0,89
8.058,24.54,70.323,544.919,74.247,0.934,53.473,302.8964598990883,23.641,5.406,0.095,0.227,2.546,0.783,1.047,935
15.95,17.184,83.967,610.972,57.576,0.317,23.302,456.1044389282613,20.152,7.71,0.093,0.189,1.198,0.017,5.703,888
30.339,136.89,116.115,832.642,95.113,8.897,82.01,242.60322193702982,109.696,12.63,0.248,0.11,4.156,0.908,17.245,382
100.0,140.0,130.0,850.0,110.0,10.0,98.863,54.60843427218396,123.744,20.0,0.353,0.252,6.226,0.572,20.0,269
6.013,63.077,101.528,628.695,45.251,3.126,21.989,253.1688986906451,7.364,6.761,0.068,0.163,2.477,0.136,11.101,865
100.0,140.0,130.0,850.0,110.0,10.0,95.465,1066.580419770901,121.603,20.0,0.401,0.28,8.618,0.807,20.0,293
17.683,33.133,75.037,497.578,67.888,1.932,57.853,418.10439787885036,41.935,5.846,0.085,0.201,0.248,0.663,8.277,867
7.03,71.686,101.477,276.463,66.128,2.483,51.515,336.33416309266755,55.157,5.679,0.023,0.193,2.586,0.453,1.964,818
14.58,8.079,71.56,446.639,47.7,4.802,12.756,485.0981292328463,87.943,3.63,0.026,0.215,0.27,0.121,5.789,813
13.415,17.041,89.894,647.287,56.668,0.147,58.495,684.6712654449314,86.361,8.81,0.042,0.166,1.344,0.749,2.641,937
77.823,128.174,125.124,848.323,94.668,6.412,81.228,921.4678594994783,117.587,10.13,0.287,0.149,4.156,0.921,16.471,617
31.087,113.632,125.804,752.469,97.335,5.865,83.981,205.62870288539844,103.279,18.547,0.259,0.115,3.996,0.927,17.34,345
80.147,122.206,116.972,748.858,93.701,7.077,79.148,246.4741050531296,108.517,18.32,0.213,0.107,3.362,0.938,17.09,496
30.957,107.401,120.968,735.21,95.392,5.963,78.706,904.8745267609667,116.06,14.392,0.205,0.109,3.444,0.944,16.375,329
18.043,53.424,105.415,501.936,39.92,4.486,6.98,761.3895084080011,52.338,2.786,0.078,0.168,3.085,0.201,10.638,943
11.261,44.743,95.987,576.3,41.295,0.967,39.879,464.97537273328874,12.291,3.052,0.058,0.199,1.87,0.592,6.484,820
100.0,140.0,130.0,850.0,110.0,10.0,87.688,125.93032508054489,129.384,20.0,0.369,0.049,8.854,0.306,20.0,193
5.646,96.733,104.285,587.725,45.781,2.766,27.407,581.9765499132593,12.469,6.76,0.067,0.23,0.361,0.62,2.327,953
100.0,140.0,130.0,850.0,110.0,10.0,93.891,1065.395497288347,121.33,20.0,0.364,0.089,9.705,0.652,20.0,256
76.995,104.183,128.768,783.712,94.243,5.865,75.492,905.4453377918805,118.152,12.453,0.236,0.126,4.265,0.935,17.01,767
22.523,121.379,124.341,668.288,108.341,6.427,81.539,245.4852782887104,111.472,12.95,0.259,0.128,4.251,0.914,17.305,661
100.0,140.0,130.0,850.0,110.0,10.0,98.57,1064.0127522918829,127.123,20.0,0.431,0.04,5.995,0.329,20.0,3
1.971,58.771,106.286,564.297,34.714,3.911,16.054,401.42058031585367,35.924,6.937,0.056,0.233,3.111,0.588,1.648,867
100.0,140.0,130.0,850.0,110.0,10.0,92.822,72.14929845034474,125.114,20.0,0.37,0.081,7.6,0.467,20.0,29
17.668,39.456,97.842,568.722,35.519,2.072,48.558,763.2800750248902,12.96,2.505,0.045,0.183,1.941,0.349,10.188,877
33.14,104.995,112.405,800.196,92.282,6.486,81.355,948.0937661557501,116.901,13.259,0.252,0.146,4.185,0.913,18.724,355
100.0,140.0,130.0,850.0,110.0,10.0,91.709,123.95349814533266,121.884,20.0,0.447,0.276,6.759,0.16,20.0,193
84.018,125.894,124.032,683.17,85.506,6.089,82.583,234.6917112020739,114.713,14.95,0.226,0.112,4.25,0.914,18.255,665
100.0,140.0,130.0,850.0,110.0,10.0,95.621,1084.2350496292631,121.336,20.0,0.481,0.005,9.822,0.244,20.0,181
6.272,73.049,104.846,446.821,74.171,0.364,18.702,585.9204317118821,30.438,8.75,0.017,0.184,0.295,0.755,7.147,983
36.338,131.431,110.105,758.38,91.223,7.8,79.01,963.5813674197384,102.36,11.856,0.232,0.101,3.867,0.945,16.885,385
100.0,140.0,130.0,850.0,110.0,10.0,93.507,1012.9771445253507,126.561,20.0,0.492,0.019,4.964,0.405,20.0,139
11.38,17.065,87.351,280.164,54.298,4.582,58.958,347.4810454942318,91.272,1.126,0.03,0.187,0.63,0.289,9.985,986
9.222,32.17,107.217,331.922,82.165,1.698,20.038,290.34838856569957,45.041,2.614,0.058,0.203,0.639,0.09,0.932,890
6.35,21.622,98.839,619.638,73.066,0.474,58.999,693.2514103806177,21.732,7.597,0.08,0.169,2.131,0.615,7.39,862
5.422,20.467,86.901,269.024,51.111,2.985,49.826,766.4839603800273,59.436,1.671,0.056,0.177,1.308,0.281,13.029,857
5.367,97.117,94.059,383.742,35.655,0.402,51.63,888.3752825199615,57.077,1.654,0.057,0.201,2.647,0.106,12.667,962
2.092,53.878,97.051,648.344,67.934,0.385,7.588,558.3547104163865,71.643,7.969,0.019,0.176,2.329,0.019,12.804,818
14.419,44.975,100.88,355.9,40.957,1.773,18.413,763.5889177313164,36.694,7.417,0.066,0.212,1.625,0.697,1.932,816
2.421,98.0,77.445,422.739,73.506,1.655,4.872,702.1330024052145,62.032,6.659,0.088,0.237,0.205,0.214,5.859,917
14.364,0.163,108.009,300.652,67.064,2.234,12.234,479.4714344784894,4.264,1.918,0.021,0.174,1.495,0.207,3.698,967
100.0,140.0,130.0,850.0,110.0,10.0,90.639,102.11469089694438,125.589,20.0,0.387,0.276,8.907,0.138,20.0,27
100.0,140.0,130.0,850.0,110.0,10.0,99.739,1024.079921092649,121.218,20.0,0.335,0.06,9.664,0.242,20.0,38
17.189,10.197,84.277,378.937,68.286,1.893,60.471,294.7760462184406,22.958,5.143,0.007,0.206,0.848,0.324,2.274,960
100.0,140.0,130.0,850.0,110.0,10.0,93.481,1076.5993983087928,124.6,20.0,0.483,0.287,5.08,0.844,20.0,153
32.458,104.126,120.214,810.926,85.113,5.137,81.658,234.43259758950836,111.876,12.967,0.208,0.133,3.32,0.935,17.502,727
100.0,140.0,130.0,850.0,110.0,10.0,86.195,1060.8584863918545,128.589,20.0,0.309,0.254,8.91,0.454,20.0,145
42.307,129.854,125.579,671.031,103.294,5.643,82.572,937.9720965857548,119.103,14.886,0.22,0.128,3.806,0.938,15.916,409
47.12,124.511,115.158,683.8,92.486,5.39,72.206,244.1486994261717,112.608,17.835,0.251,0.139,3.772,0.944,15.277,406
19.254,29.266,97.094,416.55,49.668,3.428,12.201,580.7784767044442,22.49,8.392,0.039,0.191,1.467,0.41,1.455,938
5.852,9.322,92.442,305.475,52.196,1.583,51.424,678.4713263588119,42.475,6.03,0.066,0.172,2.678,0.678,14.1,846
13.846,58.065,82.381,561.48,41.768,4.105,42.733,277.109116037033,91.709,7.695,0.081,0.182,3.153,0.15,13.516,892
4.798,36.912,81.219,407.5,63.028,3.966,14.666,379.92638621438743,12.165,4.904,0.018,0.202,0.504,0.01,13.662,855
95.301,137.25,112.342,781.854,90.369,5.032,76.0,222.74141616206776,101.637,18.5,0.277,0.138,3.942,0.907,17.74,707
88.653,118.994,110.454,697.075,89.682,6.482,77.617,227.85086377430346,100.205,17.614,0.221,0.1,3.421,0.929,15.237,491
18.104,49.119,73.841,533.739,65.2,2.773,7.045,480.70660206500463,9.544,2.832,0.054,0.211,1.654,0.385,10.91,938
17.882,74.721,85.757,497.097,30.485,0.915,13.303,339.1704270907856,93.351,1.248,0.074,0.209,0.496,0.584,4.058,924
9.568,92.846,95.518,605.573,31.282,0.662,8.429,891.5588680731597,61.789,8.846,0.054,0.195,2.803,0.562,8.196,980
18.621,85.696,100.095,387.143,81.273,0.885,60.068,786.8916963776198,21.63,9.847,0.03,0.23,0.719,0.182,8.355,895
71.769,100.933,122.03,669.165,101.555,5.176,73.694,227.6905902247311,116.977,15.238,0.285,0.116,3.683,0.936,17.491,649
56.131,118.853,115.07,693.155,99.1,7.48,72.606,946.2249631093302,103.102,11.514,0.235,0.118,4.211,0.916,16.863,383
26.512,136.2,116.031,725.973,87.626,5.565,82.821,924.8543707792687,104.944,17.742,0.241,0.1,3.803,0.931,18.52,326
72.572,126.745,124.707,779.328,91.151,7.871,72.739,205.3840785851154,103.641,12.418,0.274,0.142,3.634,0.924,15.239,694
19.273,80.624,108.007,437.303,66.064,1.66,54.837,848.4266353262021,12.838,5.939,0.076,0.196,1.363,0.569,3.38,850
13.912,52.574,86.322,375.05,80.308,2.519,4.498,382.93380150222947,23.653,7.014,0.012,0.199,2.661,0.098,12.982,861
8.053,16.87,83.575,297.272,37.316,3.126,22.138,464.86734660875436,40.194,5.603,0.046,0.189,2.125,0.197,7.913,842
18.517,20.642,70.516,497.147,60.736,0.244,41.589,869.8753623229309,9.351,6.014,0.031,0.198,1.47,0.12,4.923,827
19.732,26.139,87.044,364.354,38.258,2.463,21.997,789.2270039962087,96.834,7.413,0.074,0.181,3.083,0.456,4.301,804
11.035,53.964,76.624,334.84,68.647,4.314,59.295,666.9148524484149,22.808,7.186,0.031,0.23,2.623,0.472,8.75,912
60.047,115.886,117.856,662.025,96.403,6.632,80.094,239.9925846016697,116.796,10.211,0.28,0.103,3.319,0.934,17.516,559
19.679,68.447,106.723,557.665,48.422,1.855,12.429,720.7635313160837,35.436,6.168,0.026,0.175,1.033,0.168,14.74,852
15.288,13.966,109.671,382.237,53.93,4.788,57.99,732.0841384146736,42.554,8.258,0.068,0.167,0.865,0.671,4.332,833
100.0,140.0,130.0,850.0,110.0,10.0,91.534,1024.493379767099,123.348,20.0,0.462,0.289,6.569,0.193,20.0,191
7.614,63.324,72.551,470.824,70.441,4.532,43.287,364.7315545056425,6.365,4.213,0.092,0.186,0.467,0.156,6.069,807
71.452,115.292,110.423,783.14,99.972,8.349,74.996,939.9062606423099,116.164,12.221,0.214,0.109,3.405,0.913,16.702,362
10.04,16.286,70.076,383.761,30.72,0.398,7.368,386.89150416574466,42.804,2.358,0.003,0.208,2.047,0.546,2.724,964
26.678,126.217,112.437,726.053,99.429,7.585,76.461,998.3408946014156,115.893,11.913,0.221,0.11,4.294,0.909,15.824,372
26.336,133.396,128.123,654.024,107.136,6.685,82.073,201.84323510326053,103.828,17.941,0.243,0.112,3.424,0.94,18.45,700
56.172,132.175,128.9,686.196,106.081,6.89,77.261,243.05290643182866,107.662,13.601,0.246,0.112,3.507,0.928,18.59,632
10.573,14.288,99.68,560.208,69.142,3.196,24.69,582.4647719522247,11.302,2.221,0.095,0.201,0.581,0.195,1.797,824
15.44,48.198,70.763,504.393,81.3,4.785,63.076,738.8525169487584,78.93,6.156,0.028,0.221,1.117,0.218,0.829,883
98.182,119.007,120.384,768.852,103.906,5.699,71.955,995.2787114144837,108.898,15.631,0.266,0.148,3.959,0.914,16.68,716
30.253,119.71,114.763,761.124,98.692,5.077,77.687,228.6518548141174,115.226,15.642,0.26,0.121,3.795,0.912,17.663,589
78.04,131.359,124.79,782.486,93.93,6.11,80.569,995.7691072374627,114.117,18.373,0.255,0.102,3.757,0.931,16.02,384
69.752,110.761,122.919,762.321,91.183,7.813,80.883,232.2092354695099,106.415,18.363,0.26,0.129,4.254,0.928,17.915,790
13.162,53.724,74.146,544.009,58.603,2.711,45.878,853.5812387076213,36.529,8.59,0.064,0.203,0.375,0.589,12.438,857
8.357,62.806,75.439,502.648,35.031,1.421,7.982,522.8959640390217,57.516,9.487,0.01,0.16,2.978,0.569,6.758,859
11.589,97.947,90.234,299.437,64.814,2.516,15.948,340.3920452954793,12.661,9.102,0.02,0.201,3.07,0.353,1.342,806
12.891,15.067,75.818,512.901,78.317,3.273,2.442,803.7370750058619,98.178,9.662,0.042,0.208,1.139,0.54,12.151,875
12.04,84.277,108.883,415.647,70.769,3.2,0.782,896.2510310709662,3.279,6.08,0.096,0.191,0.504,0.54,3.727,916
11.881,87.519,100.379,478.86,72.407,4.494,5.507,369.947511356784,52.237,8.819,0.062,0.199,2.597,0.055,13.638,967
14.882,51.774,84.443,490.597,56.092,3.271,52.768,264.17593810906186,0.976,7.9,0.051,0.238,1.321,0.086,13.738,803
5.571,42.817,94.968,481.098,33.321,2.033,69.027,288.8416302814967,12.038,3.083,0.059,0.196,2.004,0.522,9.03,978
100.0,140.0,130.0,850.0,110.0,10.0,99.363,79.23207635242713,128.421,20.0,0.488,0.263,5.015,0.705,20.0,79
11.569,76.414,109.43,410.711,67.133,4.438,47.036,695.9050728628945,17.853,5.672,0.006,0.215,0.239,0.21,6.504,802
0.459,69.751,81.975,642.585,67.992,1.221,37.074,836.5557410836029,80.173,8.097,0.03,0.205,0.344,0.245,0.817,855
5.035,36.228,78.538,503.498,61.955,4.505,36.003,587.850027165129,90.293,9.506,0.023,0.163,1.131,0.414,3.445,910
100.0,140.0,130.0,850.0,110.0,10.0,86.282,174.2972270710317,126.985,20.0,0.484,0.29,7.937,0.608,20.0,76
42.614,124.534,120.837,848.466,86.308,5.909,77.62,240.49592968361748,111.33,11.61,0.28,0.133,4.276,0.918,18.628,653
9.073,16.352,78.415,529.324,40.095,0.578,69.556,862.6181803240672,99.004,5.097,0.03,0.17,2.8,0.078,6.716,862
49.982,117.902,111.577,690.475,89.208,5.243,70.637,248.09512459140834,118.077,13.553,0.271,0.129,3.593,0.906,18.871,588
8.568,23.685,71.328,304.986,56.923,1.093,33.392,833.5489909051935,46.493,1.391,0.073,0.183,0.681,0.606,7.085,860
3.706,3.598,103.413,451.525,58.132,1.363,14.476,831.7142549448919,40.072,6.905,0.055,0.186,0.733,0.6,1.112,843
84.837,115.581,123.693,754.198,106.191,5.744,80.234,949.0622938213285,106.931,18.799,0.248,0.148,4.159,0.936,16.922,352
17.024,26.616,70.833,514.106,73.123,1.996,57.386,783.6705575239573,9.945,3.431,0.01,0.176,0.575,0.331,1.377,963
15.346,24.969,86.976,288.883,47.549,3.523,10.912,506.3075050973763,98.894,7.597,0.017,0.176,2.887,0.119,1.498,916
15.855,41.64,90.474,406.532,55.754,3.713,6.423,396.0813396273704,56.515,7.198,0.069,0.239,1.169,0.111,0.391,909
19.765,91.731,109.073,403.059,63.619,1.341,20.423,424.24790947473616,55.014,3.549,0.08,0.201,3.152,0.625,13.76,963
8.433,1.793,83.118,439.84,45.948,4.417,14.871,567.6074173107896,91.11,7.265,0.04,0.191,0.457,0.114,2.78,981
16.589,17.737,77.677,646.917,42.084,1.298,36.081,674.0064629431174,87.661,6.846,0.022,0.167,1.309,0.714,2.846,975
3.028,17.611,90.856,392.943,66.652,1.595,14.622,861.1869592482898,1.134,6.831,0.066,0.2,2.433,0.513,9.355,982
9.828,43.78,95.444,391.268,63.351,3.77,9.472,652.8067371549644,22.001,9.216,0.026,0.2,1.517,0.156,4.207,802
18.223,77.056,71.195,286.296,59.904,1.268,7.018,679.0210377482276,37.018,2.562,0.02,0.192,3.019,0.497,1.375,961
74.155,118.161,118.156,745.431,104.761,6.347,81.747,902.2410349354651,108.279,18.507,0.211,0.12,3.343,0.907,15.74,752
48.558,111.071,127.538,784.751,86.03,6.199,71.203,233.57671977164435,118.812,13.286,0.251,0.124,4.274,0.934,16.563,317
